evaluation,accuracy,precision,recall,f1,roc_auc
model_a_original,0.9752640727369969,0.9663865546218487,0.9847471233609848,0.975480450629556,0.9967944101819142
model_b_srgan,0.9548067923519187,0.9497221487165917,0.9603960396039604,0.9550292708887707,0.9913991879491878
model_b_original_secondary,0.9204439096135847,0.9160487288135594,0.9256087770939256,0.9208039398376148,0.9773268513816005
